min_m_mu,m_chi_10

74.416,73.72999999999999
79.023,78.28699999999999
83.765,82.975
88.914,88.07300000000001
94.063,93.174
99.213,98.27699999999999
104.634,103.657
109.919,108.893
114.932,113.839
119.878,118.712
124.62,123.364
128.954,127.584
133.356,131.867
138.37,136.78
143.655,141.985
148.805,147.04500000000002
154.158,152.32199999999997
159.647,157.736
165.0,163.009
170.218,168.125
175.231,172.99699999999999
179.973,177.572
184.715,182.13400000000001
189.456,186.67499999999998
194.13,191.12199999999999
198.6,195.338
204.022,200.628
209.375,205.843
213.71,209.859
217.637,213.386
221.496,216.80700000000002
224.813,219.618
226.537,220.583
228.258,221.49
230.489,222.809
232.788,224.09
233.664,223.88799999999998
228.983,218.449
223.829,212.73000000000002
218.81,206.997
213.79,201.164
208.974,195.44
204.09,189.584
199.274,183.698
194.66,177.79399999999998
190.726,173.023
185.436,166.76500000000001
180.282,160.589
174.992,154.434
169.365,148.358
163.805,142.226
158.178,136.25799999999998
152.551,130.232
147.329,123.873
142.107,117.547
136.547,111.257
130.987,105.029
125.427,98.81800000000001
119.867,92.649
114.532,86.643

117.8618181818182,85.37391650054902
121.89236363636365,85.46524266338034
125.9229090909091,85.61534336675496
126.08404455680095,85.64230303030303
129.95345454545458,86.40111024919557
133.98400000000004,87.4871959288784
138.0145454545455,89.28068456720386
138.62803931735746,89.67288888888888
142.04509090909093,92.15070131891062
143.74785265390412,93.70347474747474
146.0756363636364,95.80334485942137
148.42024393318485,97.73406060606061
150.10618181818185,99.06905956402397
154.1367272727273,101.41788693404301
154.78655068708275,101.76464646464646
158.16727272727275,103.47179044979077
162.1978181818182,105.62254116038558
162.50203314159086,105.79523232323233
166.22836363636367,107.92870710966538
169.31678910334603,109.82581818181819
170.25890909090913,110.44558725382103
174.2894545454546,113.1204029147498
175.44832341410262,113.85640404040404
178.32000000000002,115.84129515747219
181.5956933489693,117.8869898989899
182.35054545454548,118.36403375634569
186.38109090909094,120.71764086667426
188.42550804595376,121.91757575757578
190.4116363636364,123.07714776591564
194.44218181818187,125.60623932039364

196.6251,129.9253
199.2310,131.4594
212.9326,137.9021
221.9956,147.7669
229.2400,162.5384
230.3553,164.0743
245.5474,176.2417
252.9605,180.3817
261.8549,186.3387
269.8112,196.6891
276.5489,212.9966
278.1623,215.6112
294.4697,226.5131
300.8683,229.3040
310.7771,233.9475
322.6640,245.6114
327.0846,253.4969
334.1225,261.9189
343.3920,268.0024
359.6994,274.1790
367.1470,278.2263
376.0069,285.1836
385.5012,294.5337
392.3143,302.5100
405.2097,310.8411
408.6217,312.6235
424.9291,321.0684
434.0071,327.1486
441.2366,334.1500
453.9453,343.4560
457.5440,345.7286
473.8514,350.7800
490.1589,358.1521
494.1069,359.7634
506.4663,365.5301
522.7737,370.8473
539.0595,376.0709
539.0811,376.0795
555.3886,378.6258
563.5742,376.0709
571.6960,373.1172
588.0034,362.4894
591.8576,359.7634
604.3109,348.3443
609.5178,343.4560
620.6183,330.2975
623.2205,327.1486
634.7428,310.8411
636.9257,307.0183
643.2435,294.5337
647.9831,278.2263
651.4814,261.9189
653.2331,251.8769
654.2626,245.6114
656.6250,229.3040
658.8116,212.9966
660.7868,196.6891
662.2363,180.3817
663.7365,164.0743
665.0199,147.7669
665.9280,131.4594
666.4578,115.1520
666.7481,98.8446
666.9923,82.5371
667.0828,66.2297
667.0376,49.9223
667.0336,33.6149
667.4503,17.3074
668.9425,1.0000
